Category 2|Category 3|Category 4|Extension|Description
Generalized files|Generic file extensions|Text files|.cfg|configuration file substantially software-specific
Generalized files|Generic file extensions|Text files|.log|logfiles usually text, but sometimes binary
Generalized files|Generic file extensions|Text files|.asc|human-readable plain text, usually no more specific
Generalized files|Generic file extensions|Text files|.text|human-readable plain text, usually no more specific
Generalized files|Generic file extensions|Text files|.txt|human-readable plain text, usually no more specific
Generalized files|Partial files|Differences and patches|diff|text file differences created by the program diff and applied as updates by patch
Generalized files|Partial files|Incomplete transfers|.!ut|!UT partly complete uTorrent download
Generalized files|Partial files|Incomplete transfers|.crdownload|CRDOWNLOAD partly complete or incomplete Google Chrome or Microsoft Edge download
Generalized files|Partial files|Incomplete transfers|.opdownload|OPDOWNLOAD partly complete or incomplete Opera download
Generalized files|Partial files|Incomplete transfers|.part|PART partly complete Mozilla Firefox or Transmission download
Generalized files|Partial files|Incomplete transfers|.partial|PARTIAL partly complete Internet Explorer or Edge Legacy download
Generalized files|Temporary files||.temp|Temporary file sometimes in a specific format, but often just raw data in the middle of processing
Generalized files|Temporary files||.tmp|Temporary file sometimes in a specific format, but often just raw data in the middle of processing
Generalized files|Temporary files||Pseudo-pipelines|Pseudo-pipeline file used to simulate a software pipe
Generalized files|Temporary files||Pseudo-pipeline|Pseudo-pipeline file used to simulate a software pipe
